time,side,tradeQuantity,counterPartyId
00:00:00.000,OFFER,1000000,0
00:00:01.000,BID,5000,1
00:00:01.000,BID,5000,2
00:00:01.000,BID,1000,2
00:00:02.000,OFFER,1000,2
00:00:02.000,OFFER,2000,2
00:00:07.000,OFFER,1000000,6
00:00:38.000,OFFER,1000,7
00:00:52.000,BID,2500000,8
00:01:03.000,OFFER,1000,2
00:01:17.000,BID,1000000,8
00:01:59.000,OFFER,1000,11
00:01:59.000,OFFER,1000,2
00:01:59.000,OFFER,2000,2
00:01:59.000,OFFER,1000,2
00:01:59.000,OFFER,3000,2
00:02:00.000,OFFER,5000,2
00:02:00.000,OFFER,13000,2
00:02:00.000,OFFER,8000,2
00:02:00.000,OFFER,36000,2
00:02:08.000,OFFER,2000,11
00:02:17.000,OFFER,7000,2
00:02:21.000,OFFER,10000,7
00:03:12.000,BID,10000,23
00:03:12.000,BID,100,24
00:03:12.000,BID,73000,25
00:03:12.000,BID,2000,1
00:03:12.000,BID,6000,1
00:03:12.000,BID,1000,1
00:03:12.000,OFFER,1000,11
00:03:12.000,BID,3000,30
00:03:13.000,OFFER,1000,1
00:03:14.000,OFFER,1000,1
00:03:14.000,OFFER,1000,1
00:03:14.000,OFFER,1000,1
00:03:14.000,OFFER,1000,1
00:03:15.000,OFFER,1000,1
00:03:17.000,BID,100000,23
00:03:19.000,OFFER,1000000,38
00:03:19.000,OFFER,1000000,8
00:03:27.000,OFFER,10000,24
00:03:33.000,OFFER,1000000,8
00:03:33.000,OFFER,2100000,8
00:03:35.000,OFFER,1000000,8
00:04:00.000,BID,1000,2
00:04:01.000,BID,2000,2
00:04:01.000,BID,2000,2
00:04:02.000,BID,1000,2
00:04:02.000,BID,2000,2
00:04:08.000,BID,50000,1
00:05:00.000,OFFER,3000,2
00:05:25.000,BID,750000,51
00:05:27.000,BID,1000,52
00:05:27.000,BID,20000,23
00:05:27.000,OFFER,2000,11
00:05:34.000,OFFER,1000,11
00:05:36.000,BID,1000,11
00:05:39.000,BID,1000000,57
00:05:39.000,BID,1000000,57
00:05:50.000,OFFER,1000,1
00:06:02.000,OFFER,1000,1
00:06:02.000,OFFER,2000,1
00:06:03.000,OFFER,10000,52
00:06:06.000,OFFER,450000,63
00:06:29.000,OFFER,40000,2
00:06:36.000,OFFER,8000,2
00:06:57.000,OFFER,61000,66
00:06:57.000,OFFER,900000,11
00:07:07.000,BID,1000000,0
00:07:07.000,BID,1000000,0
00:07:07.000,BID,1000000,0
00:07:07.000,BID,500000,0
00:07:08.000,OFFER,1000,11
00:07:08.000,OFFER,2000,1
00:07:08.000,OFFER,5000,1
00:07:08.000,OFFER,2000,1
00:07:09.000,OFFER,2000,1
00:07:10.000,OFFER,200000,77
00:07:10.000,OFFER,1000,11
00:07:12.000,OFFER,2000,1
00:07:12.000,OFFER,2000,1
00:07:12.000,OFFER,3000,1
00:07:13.000,OFFER,82000,1
00:07:15.000,OFFER,3000,1
00:07:16.000,OFFER,3000,1
00:07:27.000,BID,10000,7
00:07:27.000,OFFER,1000,11
00:07:27.000,BID,1836,1
00:07:36.000,OFFER,40000,88
00:07:42.000,BID,2859,1
00:08:02.000,OFFER,1000,90
00:08:02.000,OFFER,20000,2
00:09:00.000,OFFER,1000,11
00:09:00.000,BID,1000000,51
00:09:01.000,OFFER,1000,7
00:09:10.000,BID,1000,11
00:09:12.000,BID,3000,77
00:09:12.000,BID,3000,77
00:09:12.000,OFFER,3000,2
00:09:12.000,BID,3000,77
00:09:16.000,BID,1000,77
00:09:16.000,BID,4000,101
00:09:16.000,BID,1000,77
00:09:16.000,BID,1000,77
00:09:16.000,BID,10000,77
00:09:16.000,OFFER,50000,30
00:09:17.000,BID,400000,77
00:09:17.000,OFFER,2000,11
00:09:17.000,BID,100000,77
00:09:19.000,OFFER,2000,1
00:09:19.000,BID,10000,77
00:09:20.000,OFFER,500000,111
00:09:23.000,BID,20000,77
00:09:23.000,BID,20000,77
00:09:24.000,BID,5000,77
00:09:24.000,OFFER,1000000,115
00:09:26.000,OFFER,950000,116
00:09:28.000,BID,5000,77
00:09:29.000,BID,10000,77
00:09:41.000,BID,5000,77
00:09:47.000,BID,20000,77
00:09:48.000,BID,250000,121
00:09:49.000,BID,5000,77
00:09:49.000,BID,60000,1
00:09:51.000,BID,200000,77
00:09:53.000,OFFER,200000,125
00:09:55.000,BID,6000,101
00:10:00.000,OFFER,1000000,77
00:10:01.000,OFFER,10000,7
00:10:01.000,OFFER,1000,2
00:10:01.000,OFFER,6000,2
00:10:01.000,OFFER,16000,2
00:10:01.000,OFFER,68000,2
00:10:01.000,OFFER,13000,2
00:10:01.000,OFFER,13000,2
00:10:14.000,OFFER,50000,1
00:10:24.000,BID,10000,1
00:10:32.000,BID,1000000,137
00:10:35.000,OFFER,21000,138
00:10:43.000,OFFER,80000,139
00:11:02.000,BID,21000,2
00:11:27.000,BID,150000,141
00:11:32.000,BID,10000,7
00:11:42.000,BID,15000,143
00:11:49.000,BID,500000,144
00:11:59.000,BID,700000,66
00:12:00.000,BID,500000,144
00:12:00.000,BID,1000000,147
00:12:45.000,OFFER,80000,139
00:12:50.000,OFFER,160000,1
00:14:17.000,BID,750000,150
00:14:32.000,OFFER,50000,151
00:15:00.000,OFFER,10000,152
00:15:00.000,OFFER,10000,7
00:15:00.000,OFFER,20000,154
00:15:00.000,OFFER,1000,152
00:15:01.000,OFFER,1000,152
00:15:01.000,OFFER,1000,152
00:15:01.000,OFFER,5000,2
00:15:28.000,OFFER,1000,66
00:15:28.000,OFFER,1000,66
00:15:28.000,OFFER,1000,66
00:15:28.000,OFFER,1000,66
00:15:39.000,OFFER,500000,163
00:15:51.000,OFFER,480000,163
00:15:52.000,OFFER,50000,77
00:16:38.000,OFFER,150000,166
00:16:42.000,BID,1000,11
00:19:13.000,BID,2000,11
00:19:58.000,BID,1000000,169
00:20:23.000,BID,220000,170
00:22:54.000,OFFER,100000,52
00:23:17.000,BID,500000,8
00:23:26.000,OFFER,350000,1
00:23:47.000,OFFER,1000,2
00:23:49.000,BID,1000,52
00:24:01.000,BID,2000,52
00:24:01.000,BID,2000,52
00:24:01.000,OFFER,500000,178
00:24:02.000,BID,1000000,121
00:24:05.000,BID,40000,1
00:24:18.000,BID,40000,1
00:24:45.000,BID,40000,1
00:25:00.000,BID,370001,121
00:25:12.000,OFFER,200000,1
00:25:13.000,OFFER,200000,1
00:25:14.000,BID,200000,1
00:25:19.000,OFFER,200000,163
00:26:13.000,OFFER,1000,1
00:26:26.000,BID,500000,189
00:27:12.000,BID,5000,30
00:27:12.000,BID,1000000,191
00:28:10.000,OFFER,165000,192
00:28:23.000,OFFER,160000,1
00:28:24.000,BID,40000,25
00:28:25.000,OFFER,100000,195
00:28:29.000,OFFER,266000,1
00:28:34.000,BID,1000000,197
00:28:34.000,BID,1000000,0
00:28:39.000,BID,1000000,197
00:28:48.000,BID,1000000,0
00:28:49.000,BID,500000,197
00:28:50.000,OFFER,5000,77
00:28:54.000,OFFER,1000000,6
00:29:05.000,BID,500000,0
00:29:05.000,OFFER,1000,52
00:29:05.000,OFFER,1000,52
00:29:05.000,OFFER,4000,101
00:29:09.000,OFFER,1000000,6
00:29:09.000,BID,1717,1
00:29:18.000,OFFER,10000,77
00:29:18.000,OFFER,1000000,6
00:29:18.000,OFFER,5000,101
00:29:18.000,OFFER,4000,101
00:29:18.000,OFFER,1000,2
00:29:31.000,OFFER,160000,1
00:29:50.000,OFFER,130000,154
00:29:52.000,BID,100000,52
00:30:30.000,OFFER,3000,2
00:30:45.000,OFFER,10000,7
00:30:58.000,OFFER,1000,24
00:31:01.000,OFFER,1000,2
00:31:04.000,OFFER,25000,7
00:31:07.000,BID,300000,223
00:31:11.000,BID,4000,24
00:31:14.000,OFFER,197000,1
00:31:15.000,OFFER,8000,24
00:31:15.000,OFFER,238000,1
00:31:15.000,OFFER,1000,1
00:31:30.000,BID,100000,229
00:31:41.000,OFFER,100000,2
00:31:46.000,OFFER,5000,8
00:31:55.000,BID,1000000,232
00:32:07.000,OFFER,1000000,51
00:32:20.000,BID,500000,178
00:32:29.000,BID,100000,52
00:33:01.000,OFFER,2000,1
00:33:14.000,OFFER,800000,151
00:33:18.000,OFFER,2000,2
00:33:38.000,OFFER,5000,1
00:33:53.000,BID,10000,1
00:35:14.000,OFFER,200000,1
00:35:15.000,OFFER,4000,24
00:35:25.000,OFFER,100000,2
00:35:32.000,OFFER,4000,24
00:35:38.000,OFFER,500000,245
00:35:42.000,OFFER,154000,2
00:35:45.000,OFFER,1158,1
00:36:00.000,BID,90000,139
00:36:08.000,OFFER,290000,249
00:36:14.000,BID,100000,229
00:36:24.000,OFFER,5000,7
00:36:24.000,OFFER,1000000,252
00:36:49.000,OFFER,1000000,8
00:37:01.000,BID,1000000,254
00:37:02.000,BID,1000000,255
00:37:32.000,OFFER,450000,139
00:37:35.000,BID,1000,2
00:37:45.000,BID,250000,2
00:37:45.000,BID,250000,2
00:37:59.000,BID,80000,139
00:38:00.000,BID,1000000,147
00:38:00.000,BID,670059,262
00:38:00.000,BID,4000,263
00:38:37.000,OFFER,87000,25
00:39:03.000,OFFER,1000,52
00:39:03.000,OFFER,1862,1
00:39:03.000,OFFER,32000,267
00:39:12.000,OFFER,1156,1
00:39:14.000,BID,90000,66
00:39:16.000,OFFER,1000000,111
00:39:19.000,BID,1000000,255
00:39:27.000,OFFER,1000000,147
00:39:27.000,OFFER,1000000,262
00:39:56.000,BID,1000000,274
00:40:00.000,BID,1000000,66
00:40:04.000,OFFER,1000,2
